age,gender,height_cm,weight_kg,bmi,bmi_category,bmr,tdee,activity_level,activity_multiplier,Mod_act,Vig_act,has_activity_data,fitness_goal,workout_template_id,nutrition_template_id,data_source,split
35,Female,167.6,74.4,26.47,Overweight,1503.3,2720.9,High Activity,1.81,30.0,4.0,True,Maintenance,9,7,real,train
38,Female,167.6,64.4,22.92,Normal,1398.0,1803.4,Low Activity,1.29,1.0,0.0,True,Fat Loss,1,1,real,train
32,Female,170.2,56.7,19.58,Normal,1360.5,2462.6,High Activity,1.81,14.0,0.0,True,Fat Loss,3,1,real,train
53,Male,162.6,59.0,22.31,Normal,1357.6,2457.2,High Activity,1.81,30.0,6.0,True,Maintenance,9,6,real,train
42,Male,193.0,136.1,36.52,Obese,2599.4,4704.8,High Activity,1.81,40.0,70.0,True,Fat Loss,3,3,real,train
52,Male,160.0,56.7,22.14,Normal,1320.7,1703.7,Low Activity,1.29,0.0,0.0,False,Maintenance,7,6,real,train
53,Female,157.5,54.4,21.95,Normal,1209.3,1874.4,Moderate Activity,1.55,4.0,1.0,True,Fat Loss,2,1,real,train
52,Male,172.7,58.1,19.46,Normal,1399.9,2533.8,High Activity,1.81,50.0,0.0,True,Fat Loss,3,1,real,train
19,Female,165.1,56.7,20.8,Normal,1401.1,1807.4,Low Activity,1.29,2.0,0.0,True,Fat Loss,1,1,real,train
33,Female,165.1,63.5,23.3,Normal,1403.4,2540.1,High Activity,1.81,5.0,1.0,True,Fat Loss,3,1,real,train
50,Female,170.2,57.6,19.89,Normal,1291.0,2336.7,High Activity,1.81,12.0,2.0,True,Fat Loss,3,1,real,train
50,Male,182.9,93.0,27.8,Overweight,1927.9,2487.0,Low Activity,1.29,0.0,0.0,False,Fat Loss,1,2,real,train
44,Male,154.9,77.1,32.12,Obese,1615.2,2923.5,High Activity,1.81,20.0,40.0,True,Fat Loss,3,3,real,train
50,Male,182.9,95.3,28.48,Overweight,1958.3,3544.5,High Activity,1.81,5.0,5.0,True,Fat Loss,3,2,real,train
18,Male,182.9,81.6,24.41,Normal,1957.6,3543.3,High Activity,1.81,0.0,8.0,True,Muscle Gain,6,5,real,train
22,Female,154.9,68.0,28.34,Overweight,1461.5,1885.3,Low Activity,1.29,2.0,0.0,True,Fat Loss,1,2,real,train
52,Female,154.9,47.6,19.84,Normal,1142.8,2068.6,High Activity,1.81,2.0,4.0,True,Maintenance,9,6,real,train
56,Male,172.7,77.1,25.85,Overweight,1632.4,2954.6,High Activity,1.81,8.0,3.0,True,Fat Loss,3,2,real,train
56,Male,185.4,99.8,29.03,Overweight,1997.2,3614.9,High Activity,1.81,30.0,10.0,True,Fat Loss,3,2,real,train
49,Female,162.6,64.4,24.37,Normal,1334.6,2415.7,High Activity,1.81,10.0,0.0,True,Muscle Gain,6,5,real,train
56,Male,175.3,83.9,27.32,Overweight,1735.7,3141.7,High Activity,1.81,3.0,3.0,True,Fat Loss,3,2,real,train
25,Male,190.5,99.8,27.5,Overweight,2197.5,3406.2,Moderate Activity,1.55,2.0,2.0,True,Fat Loss,2,2,real,train
41,Male,185.4,86.2,25.07,Overweight,1900.0,3439.0,High Activity,1.81,5.0,5.0,True,Maintenance,9,7,real,train
44,Female,154.9,50.8,21.16,Normal,1206.8,2184.4,High Activity,1.81,14.0,2.0,True,Maintenance,9,6,real,train
19,Male,180.3,86.2,26.5,Overweight,2000.5,3621.0,High Activity,1.81,30.0,42.0,True,Fat Loss,3,2,real,train
37,Female,162.6,70.3,26.61,Overweight,1441.1,2608.4,High Activity,1.81,10.0,10.0,True,Maintenance,9,7,real,train
64,Male,182.9,83.9,25.09,Overweight,1726.9,3125.6,High Activity,1.81,9.0,0.0,True,Fat Loss,3,2,real,train
54,Male,182.9,77.1,23.06,Normal,1692.5,3063.4,High Activity,1.81,12.0,0.0,True,Fat Loss,3,1,real,train
38,Female,175.3,63.5,20.67,Normal,1413.2,2557.9,High Activity,1.81,5.0,1.0,True,Maintenance,9,6,real,train
54,Female,170.2,78.9,27.25,Overweight,1470.8,2279.8,Moderate Activity,1.55,3.0,0.0,True,Maintenance,8,7,real,train
35,Male,190.5,113.4,31.25,Obese,2323.1,4204.8,High Activity,1.81,8.0,4.0,True,Fat Loss,3,3,real,train
46,Male,172.7,81.6,27.37,Overweight,1749.9,3167.4,High Activity,1.81,8.0,3.0,True,Fat Loss,3,2,real,train
32,Female,162.6,54.4,20.6,Normal,1316.0,2381.9,High Activity,1.81,7.0,0.0,True,Maintenance,9,6,real,train
52,Female,162.6,59.0,22.31,Normal,1271.3,2301.1,High Activity,1.81,20.0,7.0,True,Maintenance,9,6,real,train
58,Male,154.9,86.2,35.9,Obese,1657.2,2999.6,High Activity,1.81,20.0,40.0,True,Fat Loss,3,3,real,train
62,Female,165.1,61.2,22.46,Normal,1256.9,1948.1,Moderate Activity,1.55,3.0,2.0,True,Maintenance,8,6,real,train
53,Female,157.5,58.1,23.41,Normal,1242.9,2249.6,High Activity,1.81,2.0,3.0,True,Maintenance,9,6,real,train
47,Female,167.6,59.0,20.98,Normal,1308.7,2368.7,High Activity,1.81,10.0,0.0,True,Maintenance,9,6,real,train
33,Male,182.9,124.7,37.3,Obese,2449.8,3160.2,Low Activity,1.29,0.0,0.0,False,Fat Loss,1,3,real,train
36,Female,165.1,113.4,41.6,Obese,1851.8,3351.7,High Activity,1.81,20.0,0.0,True,Fat Loss,3,3,real,train
56,Female,172.7,63.5,21.29,Normal,1327.4,2402.6,High Activity,1.81,6.0,0.0,True,Fat Loss,3,1,real,train
33,Female,167.6,70.3,25.02,Overweight,1474.2,2668.3,High Activity,1.81,11.0,2.0,True,Fat Loss,3,2,real,train
62,Male,175.3,90.7,29.53,Overweight,1792.8,3245.0,High Activity,1.81,15.0,1.0,True,Fat Loss,3,2,real,train
62,Male,182.9,74.8,22.38,Normal,1616.7,2926.2,High Activity,1.81,0.0,4.0,True,Maintenance,9,1,real,train
25,Male,188.0,106.6,30.17,Obese,2276.5,4120.5,High Activity,1.81,20.0,2.0,True,Fat Loss,3,3,real,train
19,Female,167.6,54.4,19.37,Normal,1388.0,2512.3,High Activity,1.81,6.0,4.0,True,Maintenance,9,6,real,train
45,Female,172.7,59.0,19.77,Normal,1333.1,2412.9,High Activity,1.81,60.0,0.0,True,Fat Loss,3,1,real,train
53,Male,175.3,77.1,25.1,Overweight,1661.6,2575.5,Moderate Activity,1.55,4.0,2.0,True,Maintenance,8,7,real,train
40,Female,152.4,79.4,34.18,Obese,1480.5,2679.8,High Activity,1.81,10.0,10.0,True,Fat Loss,3,3,real,train
34,Male,190.5,90.7,25.0,Normal,2024.9,3665.1,High Activity,1.81,5.0,2.0,True,Maintenance,9,6,real,train
47,Male,195.6,113.4,29.65,Overweight,2279.3,4125.6,High Activity,1.81,5.0,0.0,True,Fat Loss,3,2,real,train
44,Male,180.3,71.7,22.04,Normal,1664.2,3012.1,High Activity,1.81,60.0,10.0,True,Fat Loss,3,1,real,train
63,Male,172.7,86.2,28.89,Overweight,1714.2,3102.7,High Activity,1.81,40.0,0.0,True,Maintenance,9,7,real,train
50,Female,170.2,70.3,24.28,Normal,1408.4,2183.1,Moderate Activity,1.55,3.0,0.0,True,Fat Loss,5,1,real,train
49,Female,162.6,52.2,19.74,Normal,1221.4,2210.7,High Activity,1.81,5.0,0.0,True,Maintenance,9,6,real,train
60,Female,170.2,59.0,20.36,Normal,1260.3,2281.1,High Activity,1.81,10.0,0.0,True,Fat Loss,3,1,real,train
47,Female,160.0,65.8,25.69,Overweight,1348.0,2439.9,High Activity,1.81,7.0,0.0,True,Fat Loss,3,2,real,train
54,Male,175.3,93.0,30.27,Obese,1868.6,3382.2,High Activity,1.81,20.0,6.0,True,Fat Loss,3,3,real,train
53,Male,185.4,97.5,28.37,Overweight,1983.8,3590.7,High Activity,1.81,15.0,5.0,True,Fat Loss,3,2,real,train
55,Male,172.7,70.3,23.57,Normal,1546.9,1995.5,Low Activity,1.29,0.0,0.0,True,Fat Loss,1,1,real,train
33,Male,170.2,65.8,22.71,Normal,1598.8,2893.9,High Activity,1.81,7.0,3.0,True,Muscle Gain,6,5,real,train
53,Female,157.5,70.3,28.35,Overweight,1356.1,2102.0,Moderate Activity,1.55,4.0,0.0,True,Fat Loss,2,2,real,train
28,Male,190.5,90.7,25.0,Normal,2059.0,3191.4,Moderate Activity,1.55,2.0,2.0,True,Muscle Gain,5,5,real,train
52,Male,154.9,81.6,34.01,Obese,1630.5,2951.3,High Activity,1.81,14.0,6.0,True,Fat Loss,3,3,real,train
19,Male,182.9,99.8,29.84,Overweight,2195.0,3973.0,High Activity,1.81,25.0,0.0,True,Maintenance,9,7,real,train
51,Male,154.9,83.9,34.96,Obese,1666.6,3016.5,High Activity,1.81,7.0,3.0,True,Fat Loss,3,3,real,train
