age,gender,height_cm,weight_kg,bmi,bmi_category,bmr,tdee,activity_level,activity_multiplier,Mod_act,Vig_act,has_activity_data,fitness_goal,workout_template_id,nutrition_template_id,data_source,split
33,Male,180.3,79.4,24.41,Normal,1829.9,3312.1,High Activity,1.81,11.0,2.0,True,Maintenance,9,6,real,train
50,Male,182.9,96.2,28.75,Overweight,1970.4,3566.5,High Activity,1.81,5.0,2.0,True,Fat Loss,3,2,real,train
60,Female,152.4,77.1,33.2,Obese,1373.0,2128.1,Moderate Activity,1.55,3.0,0.0,True,Fat Loss,2,3,real,train
38,Male,162.6,77.1,29.18,Overweight,1685.8,2613.0,Moderate Activity,1.55,3.0,0.0,True,Maintenance,8,7,real,train
43,Male,188.0,90.7,25.68,Overweight,1961.6,3550.5,High Activity,1.81,15.0,3.0,True,Fat Loss,3,2,real,train
55,Male,154.9,88.5,36.84,Obese,1704.7,3085.4,High Activity,1.81,7.0,5.0,True,Fat Loss,3,3,real,train
61,Male,170.2,83.9,28.97,Overweight,1683.0,3046.2,High Activity,1.81,4.0,3.0,True,Fat Loss,3,2,real,train
50,Female,167.6,86.2,30.67,Obese,1547.4,2800.7,High Activity,1.81,100.0,150.0,True,Fat Loss,3,3,real,train
40,Female,165.1,72.6,26.63,Overweight,1457.0,2637.1,High Activity,1.81,10.0,0.0,True,Fat Loss,3,2,real,train
55,Male,154.9,72.6,30.23,Obese,1492.0,2700.5,High Activity,1.81,40.0,16.0,True,Fat Loss,3,3,real,train
